,name,link
52,"Zhitomirsky, Alexander",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=21745
53,"Ziarnko, Jan",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3460
54,"Zick, Januarius",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=36211
55,"Ziegler, Henry",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3461
56,"Ziegler, Johann",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3462
57,"Ziem, Felix",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=28420
58,"Ziemann, Richard Claude",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3463
59,"Ziesenis, Johann Georg",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=21152
60,"Ziger, Dan",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=8234
61,"Zille, Heinrich",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=16939
62,"Zilzer, Gyula",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34156
63,"Zimet, A.",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=8235
64,"Zimiles, Murray",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3464
65,"Zimmermann, Jacques",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3465
66,"Zimmermann, Joachim",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=7090
67,"Zimmermann, Mac",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=6545
68,"Zingale, Santos",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34157
69,"Zingg, Adrian",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=5624
70,"Zirker, Joseph",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3466
71,"Zito, Emilio",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=8236
72,"Zittoz, Miguel",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1878
73,Zoan Andrea,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=2902
74,"Zocchi, Giuseppe",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3467
75,"Zoellner, Richard Charles",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34158
76,"Zoffany, Johann",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1988
77,"Zoffany, John",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1988
78,"Zogbaum, Wilfred M.",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34159
79,"Zompini, Gaetano",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=9988
80,"Zoppo, Marco",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1989
81,"Zorach, Marguerite",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1990
82,"Zorach, William",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=2299
83,"Zorio, Gilberto",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=31202
84,"Zorn, Anders",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1991
85,"Zorn, Anders Leonard",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1991
86,"Zorner, Rudolf",https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=24832
87,Zorzo da Castelfranco,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=1341
88,"Zox, Larry",https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6731
89,Zsissly,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6496
90,"Zuccarelli, Francesco",https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6350
